day,서울,제주,경남,경북,전남,전북,충남,충북,강원,경기,세종,울산,대전,광주,인천,대구,부산,,
2020-01-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
2020-01-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
2020-01-22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
2020-01-23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
2020-01-24,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,
2020-01-25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
2020-01-26,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,
2020-01-27,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
2020-01-28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
2020-01-29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
2020-01-30,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,
2020-01-31,1,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,,
2020-02-01,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,
2020-02-02,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,,
2020-02-03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
2020-02-04,20,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,
2020-02-05,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,,
2020-02-06,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
2020-02-07,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
2020-02-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
2020-02-09,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
2020-02-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
2020-02-11,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,,
2020-02-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
2020-02-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
2020-02-14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
2020-02-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
2020-02-16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
2020-02-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
2020-02-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,
2020-02-19,6,0,3,2,0,0,0,0,0,0,0,0,0,0,1,10,0,,
2020-02-20,2,0,0,23,0,0,0,0,0,0,0,0,0,0,0,19,8,,
2020-02-21,5,1,4,3,0,1,1,1,0,2,0,0,0,2,0,80,0,,
2020-02-22,3,0,0,117,1,1,0,2,6,6,1,1,2,3,0,83,3,,
2020-02-23,1,1,10,25,0,0,0,0,0,4,0,0,1,2,0,117,8,,
2020-02-24,4,0,3,23,0,0,0,0,0,11,0,1,0,1,0,173,15,,
2020-02-25,6,0,3,56,0,0,1,2,0,7,0,1,0,0,0,60,8,,
2020-02-26,8,0,11,68,0,0,1,0,0,9,0,1,2,0,1,167,16,,
2020-02-27,7,0,9,28,0,2,9,3,0,11,0,7,4,0,0,422,3,,
2020-02-28,6,0,6,64,0,0,23,1,1,10,0,3,4,0,1,448,4,,
2020-02-29,15,0,10,79,2,0,20,1,0,10,0,3,0,0,2,656,15,,
2020-03-01,10,0,4,68,0,1,13,1,8,7,0,3,0,0,0,468,3,,
2020-03-02,4,0,1,68,1,0,10,0,4,3,0,0,1,0,1,377,5,,
2020-03-03,7,1,0,61,0,1,3,0,1,2,0,0,0,2,0,520,2,,
2020-03-04,1,0,1,89,0,0,1,0,1,7,0,3,1,2,2,405,2,,
2020-03-05,4,1,9,87,0,0,4,1,2,9,0,0,1,0,0,321,1,,
2020-03-06,2,0,3,123,0,0,4,3,2,10,0,0,2,0,0,367,2,,
2020-03-07,3,0,5,65,0,0,2,5,1,10,1,0,0,0,0,390,1,,
2020-03-08,12,0,1,32,0,0,6,4,1,11,1,1,0,1,0,297,0,,
2020-03-09,10,0,0,26,0,0,4,1,1,11,3,0,0,1,0,190,0,,
2020-03-10,11,0,0,10,0,0,2,0,0,11,2,0,0,0,4,92,1,,
2020-03-11,52,0,1,18,0,0,8,2,1,12,2,1,1,0,12,131,1,,
2020-03-12,19,0,1,8,0,0,2,0,0,3,5,0,1,0,0,73,1,,
2020-03-13,13,0,0,4,0,0,1,0,0,7,17,2,2,0,2,61,1,,
2020-03-14,13,0,0,6,0,0,0,1,0,15,6,0,0,0,1,62,3,,
2020-03-15,9,0,0,4,1,0,0,3,0,11,1,1,0,1,2,41,3,,
2020-03-16,6,0,0,7,0,0,0,0,0,20,1,0,0,0,0,35,1,,
2020-03-17,12,0,1,5,0,0,0,0,0,31,0,0,0,0,1,32,0,,
2020-03-18,5,0,0,9,0,2,3,1,1,15,1,2,0,1,1,46,1,,
2020-03-19,12,0,0,12,0,1,0,1,0,18,0,6,0,0,0,97,0,,
2020-03-20,17,0,1,13,0,0,1,0,0,14,0,0,0,1,4,34,0,,
2020-03-21,15,0,0,40,0,0,0,1,0,12,0,0,0,0,4,69,1,,
2020-03-22,10,0,1,11,1,0,1,1,0,16,0,0,2,1,0,43,3,,
2020-03-23,6,0,1,2,0,0,0,2,0,14,1,0,0,0,0,24,0,,
2020-03-24,4,0,1,1,0,0,0,1,0,15,0,0,0,0,1,31,1,,
2020-03-25,13,2,0,5,2,0,3,0,1,21,2,1,0,0,1,14,1,,
2020-03-26,13,0,0,12,0,0,1,1,0,14,0,0,6,0,1,26,0,,
2020-03-27,12,1,1,9,0,0,0,2,0,11,0,2,1,1,3,34,3,,
2020-03-28,18,1,0,2,0,0,2,0,1,21,0,0,0,0,5,71,1,,
2020-03-29,20,0,3,2,1,2,1,0,2,15,2,0,3,0,7,23,1,,
2020-03-30,16,1,1,11,0,1,0,3,2,15,0,0,0,0,0,14,3,,
2020-03-31,24,0,1,2,0,0,1,0,0,13,0,0,2,0,6,60,0,,
2020-04-01,24,0,4,2,3,1,3,0,2,23,0,0,0,4,5,20,0,,
2020-04-02,14,0,6,2,2,0,2,0,1,17,0,1,0,1,4,21,0,,
2020-04-03,18,0,1,5,1,1,1,1,2,23,0,0,0,1,1,9,0,,
